underlying_ticker,trading_date,maturity_date,strike,option_type,option_contract,option_price,spot_price
SPX,2025-12-31,2026-01-16,5960,CALL,SPX260116C05960000,922.38,6845.5
SPX,2026-01-07,2026-01-16,5975,CALL,SPX260116C05975000,977.72,6920.93
SPX,2025-12-19,2026-01-16,5980,CALL,SPX260116C05980000,870.65,6834.5
SPX,2026-01-09,2026-01-16,6000,CALL,SPX260116C06000000,977.23,6966.28
SPX,2026-01-08,2026-01-16,6010,CALL,SPX260116C06010000,908.76,6921.46
SPX,2026-01-09,2026-01-16,6010,PUT,SPX260116P06010000,0.35,6966.28
SPX,2025-12-19,2026-01-16,6020,CALL,SPX260116C06020000,832.32,6834.5
SPX,2025-12-15,2026-01-16,6025,CALL,SPX260116C06025000,832.21,6816.51
SPX,2026-01-09,2026-01-16,6025,PUT,SPX260116P06025000,0.3,6966.28
SPX,2025-12-12,2026-01-16,6030,CALL,SPX260116C06030000,856.71,6827.41
SPX,2026-01-09,2026-01-16,6030,PUT,SPX260116P06030000,0.35,6966.28
SPX,2025-12-19,2026-01-16,6040,CALL,SPX260116C06040000,816.06,6834.5
SPX,2025-12-09,2026-01-16,6045,CALL,SPX260116C06045000,833.68,6840.51
SPX,2026-01-05,2026-01-16,6045,PUT,SPX260116P06045000,0.75,6902.05
SPX,2026-01-05,2026-01-16,6050,CALL,SPX260116C06050000,872.47,6902.05
SPX,2026-01-09,2026-01-16,6050,PUT,SPX260116P06050000,0.35,6966.28
SPX,2026-01-09,2026-01-16,6055,PUT,SPX260116P06055000,0.35,6966.28
SPX,2025-12-11,2026-01-16,6060,CALL,SPX260116C06060000,817.18,6901.0
SPX,2026-01-09,2026-01-16,6070,PUT,SPX260116P06070000,0.4,6966.28
SPX,2026-01-09,2026-01-16,6080,PUT,SPX260116P06080000,0.4,6966.28
SPX,2026-01-09,2026-01-16,6090,PUT,SPX260116P06090000,0.4,6966.28
SPX,2025-12-19,2026-01-16,6095,CALL,SPX260116C06095000,754.16,6834.5
SPX,2026-01-09,2026-01-16,6095,PUT,SPX260116P06095000,0.4,6966.28
SPX,2025-12-16,2026-01-16,6110,CALL,SPX260116C06110000,687.8,6800.26
SPX,2025-12-19,2026-01-16,6115,CALL,SPX260116C06115000,726.38,6834.5
SPX,2026-01-05,2026-01-16,6115,PUT,SPX260116P06115000,0.9,6902.05
SPX,2025-12-11,2026-01-16,6120,CALL,SPX260116C06120000,807.81,6901.0
SPX,2025-12-12,2026-01-16,6125,CALL,SPX260116C06125000,777.37,6827.41
SPX,2025-12-12,2026-01-16,6130,CALL,SPX260116C06130000,720,6827.41
SPX,2026-01-09,2026-01-16,6135,PUT,SPX260116P06135000,0.45,6966.28
SPX,2025-12-16,2026-01-16,6140,CALL,SPX260116C06140000,661.5,6800.26
SPX,2026-01-09,2026-01-16,6140,PUT,SPX260116P06140000,0.45,6966.28
SPX,2026-01-09,2026-01-16,6145,PUT,SPX260116P06145000,0.45,6966.28
SPX,2025-12-30,2026-01-16,6150,CALL,SPX260116C06150000,768.5,6896.24
SPX,2026-01-09,2026-01-16,6155,PUT,SPX260116P06155000,0.3,6966.28
SPX,2025-11-25,2026-01-16,6160,CALL,SPX260116C06160000,628.25,6765.88
SPX,2026-01-09,2026-01-16,6160,PUT,SPX260116P06160000,0.45,6966.28
SPX,2026-01-09,2026-01-16,6165,PUT,SPX260116P06165000,0.45,6966.28
SPX,2026-01-06,2026-01-16,6175,CALL,SPX260116C06175000,747.8,6944.82
SPX,2026-01-09,2026-01-16,6175,PUT,SPX260116P06175000,0.3,6966.28
SPX,2025-10-31,2026-01-16,6180,CALL,SPX260116C06180000,748.6,6840.2
SPX,2026-01-08,2026-01-16,6180,PUT,SPX260116P06180000,0.65,6921.46
SPX,2026-01-05,2026-01-16,6185,PUT,SPX260116P06185000,1.08,6902.05
SPX,2026-01-05,2026-01-16,6190,PUT,SPX260116P06190000,1.05,6902.05
SPX,2025-12-16,2026-01-16,6195,CALL,SPX260116C06195000,608,6800.26
SPX,2025-12-31,2026-01-16,6195,PUT,SPX260116P06195000,2.3,6845.5
SPX,2026-01-09,2026-01-16,6210,PUT,SPX260116P06210000,0.5,6966.28
SPX,2025-12-19,2026-01-16,6215,CALL,SPX260116C06215000,635.4,6834.5
SPX,2025-09-15,2026-01-16,6220,CALL,SPX260116C06220000,569,6615.28
SPX,2026-01-06,2026-01-16,6225,CALL,SPX260116C06225000,688,6944.82
SPX,2025-12-16,2026-01-16,6230,CALL,SPX260116C06230000,584.63,6800.26
SPX,2026-01-09,2026-01-16,6230,PUT,SPX260116P06230000,0.51,6966.28
SPX,2026-01-05,2026-01-16,6245,PUT,SPX260116P06245000,0.35,6902.05
SPX,2026-01-02,2026-01-16,6250,CALL,SPX260116C06250000,617.95,6858.47
SPX,2025-11-25,2026-01-16,6255,CALL,SPX260116C06255000,587.67,6765.88
SPX,2026-01-09,2026-01-16,6255,PUT,SPX260116P06255000,0.46,6966.28
SPX,2025-12-04,2026-01-16,6265,CALL,SPX260116C06265000,643.3,6857.12
SPX,2025-12-22,2026-01-16,6270,CALL,SPX260116C06270000,619.72,6878.49
SPX,2026-01-09,2026-01-16,6275,PUT,SPX260116P06275000,0.55,6966.28
SPX,2026-01-09,2026-01-16,6280,PUT,SPX260116P06280000,0.55,6966.28
SPX,2025-11-25,2026-01-16,6285,CALL,SPX260116C06285000,561.02,6765.88
SPX,2025-11-19,2026-01-16,6290,CALL,SPX260116C06290000,477,6642.16
SPX,2026-01-09,2026-01-16,6295,PUT,SPX260116P06295000,0.5,6966.28
SPX,2026-01-06,2026-01-16,6300,CALL,SPX260116C06300000,639.34,6944.82
SPX,2026-01-09,2026-01-16,6300,PUT,SPX260116P06300000,0.5,6966.28
SPX,2025-12-04,2026-01-16,6310,CALL,SPX260116C06310000,601.26,6857.12
SPX,2025-12-17,2026-01-16,6315,CALL,SPX260116C06315000,527,6721.43
SPX,2025-11-24,2026-01-16,6320,CALL,SPX260116C06320000,481.4,6705.12
SPX,2026-01-09,2026-01-16,6320,PUT,SPX260116P06320000,0.55,6966.28
SPX,2026-01-09,2026-01-16,6325,PUT,SPX260116P06325000,0.55,6966.28
SPX,2025-12-26,2026-01-16,6330,CALL,SPX260116C06330000,614.78,6929.94
SPX,2026-01-08,2026-01-16,6335,CALL,SPX260116C06335000,590.14,6921.46
SPX,2026-01-09,2026-01-16,6335,PUT,SPX260116P06335000,0.55,6966.28
SPX,2025-12-12,2026-01-16,6340,CALL,SPX260116C06340000,532.73,6827.41
SPX,2026-01-09,2026-01-16,6340,PUT,SPX260116P06340000,0.55,6966.28
SPX,2026-01-09,2026-01-16,6345,PUT,SPX260116P06345000,0.6,6966.28
SPX,2025-12-23,2026-01-16,6355,CALL,SPX260116C06355000,574.38,6909.79
SPX,2025-12-31,2026-01-16,6360,CALL,SPX260116C06360000,529.97,6845.5
SPX,2026-01-09,2026-01-16,6360,PUT,SPX260116P06360000,0.6,6966.28
SPX,2026-01-09,2026-01-16,6365,PUT,SPX260116P06365000,0.6,6966.28
SPX,2026-01-09,2026-01-16,6370,PUT,SPX260116P06370000,0.6,6966.28
SPX,2026-01-09,2026-01-16,6375,CALL,SPX260116C06375000,565.99,6966.28
SPX,2025-11-10,2026-01-16,6380,CALL,SPX260116C06380000,549.06,6832.43
SPX,2026-01-09,2026-01-16,6380,PUT,SPX260116P06380000,0.62,6966.28
SPX,2025-12-10,2026-01-16,6385,CALL,SPX260116C06385000,513.09,6886.68
SPX,2026-01-09,2026-01-16,6385,PUT,SPX260116P06385000,0.6,6966.28
SPX,2025-12-11,2026-01-16,6395,CALL,SPX260116C06395000,487.4,6901.0
SPX,2025-12-19,2026-01-16,6405,CALL,SPX260116C06405000,446.92,6834.5
SPX,2025-11-24,2026-01-16,6410,CALL,SPX260116C06410000,371,6705.12
SPX,2025-12-02,2026-01-16,6415,CALL,SPX260116C06415000,482.52,6829.37
SPX,2026-01-06,2026-01-16,6425,CALL,SPX260116C06425000,513.62,6944.82
SPX,2025-12-23,2026-01-16,6430,CALL,SPX260116C06430000,474.54,6909.79
SPX,2025-12-19,2026-01-16,6435,CALL,SPX260116C06435000,429.03,6834.5
SPX,2026-01-09,2026-01-16,6435,PUT,SPX260116P06435000,0.65,6966.28
SPX,2026-01-08,2026-01-16,6450,CALL,SPX260116C06450000,467.82,6921.46
SPX,2026-01-09,2026-01-16,6455,PUT,SPX260116P06455000,0.65,6966.28
SPX,2025-12-19,2026-01-16,6460,CALL,SPX260116C06460000,401.98,6834.5
SPX,2026-01-07,2026-01-16,6460,PUT,SPX260116P06460000,0.65,6920.93
SPX,2025-12-19,2026-01-16,6470,CALL,SPX260116C06470000,494.49,6834.5
SPX,2026-01-09,2026-01-16,6475,PUT,SPX260116P06475000,0.65,6966.28
SPX,2026-01-09,2026-01-16,6480,PUT,SPX260116P06480000,0.75,6966.28
SPX,2025-11-18,2026-01-16,6485,CALL,SPX260116C06485000,330.62,6617.32
SPX,2026-01-09,2026-01-16,6485,PUT,SPX260116P06485000,0.65,6966.28
SPX,2025-12-16,2026-01-16,6490,CALL,SPX260116C06490000,335.79,6800.26
SPX,2026-01-09,2026-01-16,6495,PUT,SPX260116P06495000,0.7,6966.28
SPX,2026-01-09,2026-01-16,6500,PUT,SPX260116P06500000,0.65,6966.28
SPX,2025-12-29,2026-01-16,6515,CALL,SPX260116C06515000,414.8,6905.74
SPX,2025-11-21,2026-01-16,6520,CALL,SPX260116C06520000,249.6,6602.99
SPX,2026-01-09,2026-01-16,6520,PUT,SPX260116P06520000,0.75,6966.28
SPX,2026-01-09,2026-01-16,6530,PUT,SPX260116P06530000,0.8,6966.28
SPX,2026-01-06,2026-01-16,6535,CALL,SPX260116C06535000,402.23,6944.82
SPX,2025-12-15,2026-01-16,6540,CALL,SPX260116C06540000,336.78,6816.51
